Reference DOI,Reference URL,Reference Citation,Paper ID,Host Name,Host TaxonID,Virus Name,Virus TaxonID,Sampling Time,,Interaction Type ID,Study Type,Result Type,Measurement Method Name,Measurement Method ID,Result,Confidence Interval,Format,Statistical Method Name,Statistical Method ID,Misc Method Conditions,Use for Prevalence,Locality,LocalityID,Municipality,County,StateProvince,Country,Verbatim Locality,Field Site ID,Habitat Name,Habitat ID,Host Sex,Host Lifestage Name,Host Lifestage ID,Host Material Name,Host Material ID,Misc Host Attributes,,
10.1089/vbz.2005.5.127,https://www.liebertpub.com/doi/10.1089/vbz.2005.5.127,"Safronetz, D., Lindsay, R., Dibernardo, A., Hjelle, B., Xiao, R., Artsob, H., & Drebot, M. A. (2005). A preliminary study of the patterns of Sin Nombre viral infection and shedding in naturally infected deer mice (Peromyscus maniculatus). Vector borne and zoonotic diseases (Larchmont, N.Y.), 5(2), 127–132. https://doi.org/10.1089/vbz.2005.5.127",R414-Safronetz2005,Peromyscus maniculatus,,Sin Nombre Virus,,2003-08-11/2003-08-20,,,Field Observation,Prevalence,Reverse Transcription Polymerase Chain Reaction,,21.8,NA,Percentage,,,6 out of 28 oropharyngeal,0,NA,,NA,NA,Manitoba,Canada,NA,NA,,,Male | Female,Adult | Subadult,,Oropharyngeal fluid,MeSH:D012463,NA,,
10.1089/vbz.2005.5.127,https://www.liebertpub.com/doi/10.1089/vbz.2005.5.127,"Safronetz, D., Lindsay, R., Dibernardo, A., Hjelle, B., Xiao, R., Artsob, H., & Drebot, M. A. (2005). A preliminary study of the patterns of Sin Nombre viral infection and shedding in naturally infected deer mice (Peromyscus maniculatus). Vector borne and zoonotic diseases (Larchmont, N.Y.), 5(2), 127–132. https://doi.org/10.1089/vbz.2005.5.127",R414-Safronetz2005,Peromyscus maniculatus,,Sin Nombre Virus,,2003-08-11/2003-08-20,,,Field Observation,Prevalence,Reverse Transcription Polymerase Chain Reaction,,18.2,NA,Percentage,,,2 out of 11 urine samples,0,NA,,NA,NA,Manitoba,Canada,NA,NA,,,Male | Female,Adult | Subadult,,Urine,MeSH:D014556,NA,,
10.1089/vbz.2005.5.127,https://www.liebertpub.com/doi/10.1089/vbz.2005.5.127,"Safronetz, D., Lindsay, R., Dibernardo, A., Hjelle, B., Xiao, R., Artsob, H., & Drebot, M. A. (2005). A preliminary study of the patterns of Sin Nombre viral infection and shedding in naturally infected deer mice (Peromyscus maniculatus). Vector borne and zoonotic diseases (Larchmont, N.Y.), 5(2), 127–132. https://doi.org/10.1089/vbz.2005.5.127",R414-Safronetz2005,Peromyscus maniculatus,,Sin Nombre Virus,,2003-08-11/2003-08-20,,,Field Observation,Prevalence,Reverse Transcription Polymerase Chain Reaction,,32.1,NA,Percentage,,,9 out of 28 blood samples,0,NA,,NA,NA,Manitoba,Canada,NA,NA,,,Male | Female,Adult | Subadult,,Blood,MeSH:D001769,NA,,
10.1089/vbz.2005.5.127,https://www.liebertpub.com/doi/10.1089/vbz.2005.5.127,"Safronetz, D., Lindsay, R., Dibernardo, A., Hjelle, B., Xiao, R., Artsob, H., & Drebot, M. A. (2005). A preliminary study of the patterns of Sin Nombre viral infection and shedding in naturally infected deer mice (Peromyscus maniculatus). Vector borne and zoonotic diseases (Larchmont, N.Y.), 5(2), 127–132. https://doi.org/10.1089/vbz.2005.5.127",R414-Safronetz2005,Peromyscus maniculatus,,Sin Nombre Virus,,2003-08-11/2003-08-20,,,Field Observation,Prevalence,Reverse Transcription Polymerase Chain Reaction,,81.8,NA,Percentage,,,9 out of 11 fat samples,0,NA,,NA,NA,Manitoba,Canada,NA,NA,,,Male | Female,Adult | Subadult,,Fat,MeSH:D000273,NA,,
10.1089/vbz.2005.5.127,https://www.liebertpub.com/doi/10.1089/vbz.2005.5.127,"Safronetz, D., Lindsay, R., Dibernardo, A., Hjelle, B., Xiao, R., Artsob, H., & Drebot, M. A. (2005). A preliminary study of the patterns of Sin Nombre viral infection and shedding in naturally infected deer mice (Peromyscus maniculatus). Vector borne and zoonotic diseases (Larchmont, N.Y.), 5(2), 127–132. https://doi.org/10.1089/vbz.2005.5.127",R414-Safronetz2005,Peromyscus maniculatus,,Sin Nombre Virus,,2003-08-11/2003-08-20,,,Field Observation,Prevalence,Reverse Transcription Polymerase Chain Reaction,,80,NA,Percentage,,,12 out of 15 salivary samples,0,NA,,NA,NA,Manitoba,Canada,NA,NA,,,Male | Female,Adult | Subadult,,Salivary gland | masseter | muscle | spleen | kidney | heart | lung,MeSH:D013363 | MeSH:D008406 |  MeSH:D009132 | MeSH:D013154 | MeSH:D007668 | MeSH:D006321 | MeSH:D008168,NA,,
10.1089/vbz.2005.5.127,https://www.liebertpub.com/doi/10.1089/vbz.2005.5.127,"Safronetz, D., Lindsay, R., Dibernardo, A., Hjelle, B., Xiao, R., Artsob, H., & Drebot, M. A. (2005). A preliminary study of the patterns of Sin Nombre viral infection and shedding in naturally infected deer mice (Peromyscus maniculatus). Vector borne and zoonotic diseases (Larchmont, N.Y.), 5(2), 127–132. https://doi.org/10.1089/vbz.2005.5.127",R414-Safronetz2005,Peromyscus maniculatus,,Sin Nombre Virus,,2003-08-11/2003-08-20,,,Field Observation,Prevalence,Reverse Transcription Polymerase Chain Reaction,,66.7,NA,Percentage,,,10 out of 15 liver samples,0,NA,,NA,NA,Manitoba,Canada,NA,NA,,,Male | Female,Adult | Subadult,,Liver,MeSH:D008099,NA,,
10.1089/vbz.2005.5.127,https://www.liebertpub.com/doi/10.1089/vbz.2005.5.127,"Safronetz, D., Lindsay, R., Dibernardo, A., Hjelle, B., Xiao, R., Artsob, H., & Drebot, M. A. (2005). A preliminary study of the patterns of Sin Nombre viral infection and shedding in naturally infected deer mice (Peromyscus maniculatus). Vector borne and zoonotic diseases (Larchmont, N.Y.), 5(2), 127–132. https://doi.org/10.1089/vbz.2005.5.127",R414-Safronetz2005,Peromyscus maniculatus,,Sin Nombre Virus,,2003-08-11/2003-08-20,,,Field Observation,Prevalence,Reverse Transcription Polymerase Chain Reaction,,40,NA,Percentage,,,6 out of 15 bladder samples,0,NA,,NA,NA,Manitoba,Canada,NA,NA,,,Male | Female,Adult | Subadult,,Bladder,MeSH:D001743,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,2 | 12 | 14,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Saroma,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,4 | 11 | 15,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Koshimizu,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,1 | 32 | 33,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tsubetsu,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,1 | 2 | 3,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Kitami,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 3 | 3,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Furano,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,13 | 107 | 120,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tobetsu,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,3 | 57 | 60,NA,List of positive integers,NA,,Hantaan virus antigen,1,Nopporo,,NA,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,5 | 25 | 30,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Kami-iso,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 2 | 2,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Saroma,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 1 | 1,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Koshimizu,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 11 | 11,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tsubetsu,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 3 | 3,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Kitami,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 42 | 42,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Nemuro,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 93 | 93,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Furano,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 3 | 3,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tobetsu,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 24 | 24,NA,List of positive integers,NA,,Hantaan virus antigen,1,Nopporo,,NA,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 11 | 11,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tomakomai,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus speciosus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 27 | 27,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Kami-iso,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus argentus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 24 | 24,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Saroma,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus argentus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 5 | 5,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Koshimizu,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus argentus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 10 | 10,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tsubetsu,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus argentus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 26 | 26,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Kitami,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus argentus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 30 | 30,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Furano,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus argentus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 3 | 3,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tomakomai,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Apodemus argentus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 66 | 66,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Kami-iso,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rutilus,,Hantavirus,,1980/1983,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,0 | 4 | 4,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Nemuro,NA,Hokkaido,Japan,NA,NA,NA,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1992-06,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,5 | 96 | 101,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tobetsu,NA,Hokkaido,Japan,15km from Sapporo,NA,Rice Field | Windbreak Forest,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1992-10,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,3 | 97 | 100,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tobetsu,NA,Hokkaido,Japan,15km from Sapporo,NA,Rice Field | Windbreak Forest,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1993-06,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,9 | 40 | 49,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tobetsu,NA,Hokkaido,Japan,15km from Sapporo,NA,Rice Field | Windbreak Forest,,NA,NA,,Serum,,NA,,
10.4269/ajtmh.1995.53.222,,"Kariwa, H., S. Yoshizumi, J. Arikawa, K. Yoshimatsu, K. Takahashi, I. Takashima, and N. Hashimoto. “Evidence for the Existence of Puumula-Related Virus among Clethrionomys Rufocanus in Hokkaido, Japan.” The American Journal of Tropical Medicine and Hygiene 53, no. 3 (September 1995): 222–27. https://doi.org/10.4269/ajtmh.1995.53.222.",R416-Kariwa1995,Clethrionomys rufocanus,,Hantavirus,,1993-10,,,Field Observation,Positive-Negative-Total Count,Protein G Antibody Assay,,4 | 67 | 71,NA,List of positive integers,NA,,Hantaan virus antigen,1,NA,,Tobetsu,NA,Hokkaido,Japan,15km from Sapporo,NA,Rice Field | Windbreak Forest,,NA,NA,,Serum,,NA,,
